"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_create","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,102,102,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_create(ares__htable_hashfunc_t, ares__htable_bucket_key_t, ares__htable_bucket_free_t, ares__htable_key_eq_t) -> ares__htable_t *","ares__htable_hashfunc_t hash_func, ares__htable_bucket_key_t bucket_key, ares__htable_bucket_free_t bucket_free, ares__htable_key_eq_t key_eq","ares__htable_t *","ares__htable *"
"ares__htable_strvp_create","ares__htable_destroy","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,93,93,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_destroy(ares__htable_t *) -> void","ares__htable_t * htable","void","void"
"ares__htable_strvp_create","ares__htable_destroy","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,93,93,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_destroy(ares__htable_t *) -> void","ares__htable_t * htable","void","void"
"ares__htable_strvp_create","ares__htable_destroy","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,93,93,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_destroy(ares__htable_t *) -> void","ares__htable_t * htable","void","void"
"ares__htable_strvp_create","ares__htable_destroy","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares__htable.c",91,113,93,93,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","ares__htable_destroy(ares__htable_t *) -> void","ares__htable_t * htable","void","void"
"ares__htable_strvp_create","default_malloc","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares_library_init.c",91,113,50,50,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","default_malloc(size_t) -> void *","size_t size","void *","void *"
"ares__htable_strvp_create","default_malloc","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares_library_init.c",91,113,50,50,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","default_malloc(size_t) -> void *","size_t size","void *","void *"
"ares__htable_strvp_create","default_malloc","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares_library_init.c",91,113,50,50,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","default_malloc(size_t) -> void *","size_t size","void *","void *"
"ares__htable_strvp_create","default_malloc","/src/c-ares/src/lib/ares__htable_strvp.c","/src/c-ares/src/lib/ares_library_init.c",91,113,50,50,"ares__htable_strvp_create(ares__htable_strvp_val_free_t) -> ares__htable_strvp_t *","ares__htable_strvp_val_free_t val_free","ares__htable_strvp_t *","ares__htable_strvp *","default_malloc(size_t) -> void *","size_t size","void *","void *"
