"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"JPEGSetupEncode","TIFFjpeg_data_dest","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1910,2142,528,528,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_data_dest(JPEGState *, TIFF *) -> void","JPEGState * sp, TIFF * tif","void","void"
"JPEGSetupEncode","memcmp","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/string.h",1910,2142,64,64,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","memcmp(const void *, const void *, size_t) -> int","const void * __s1, const void * __s2, size_t __n","int","int"
"JPEGSetupEncode","__assert_fail","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/assert.h",1910,2142,69,69,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"JPEGSetupEncode","TIFFGetField","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_dir.c",1910,2142,1581,1581,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"JPEGSetupEncode","TIFFSetField","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_dir.c",1910,2142,1145,1145,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"JPEGSetupEncode","TIFFErrorExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_error.c",1910,2142,107,107,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGSetupEncode","TIFFWarningExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_warning.c",1910,2142,80,80,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGSetupEncode","JPEGInitializeLibJPEG","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1910,2142,2720,2720,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","JPEGInitializeLibJPEG(TIFF *, int) -> int","TIFF * tif, int decompress","int","int"
"JPEGSetupEncode","TIFFjpeg_set_defaults","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1910,2142,332,332,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_set_defaults(JPEGState *) -> int","JPEGState * sp","int","int"
"JPEGSetupEncode","prepare_JPEGTables","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1910,2142,1848,1848,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","prepare_JPEGTables(TIFF *) -> int","TIFF * tif","int","int"
"JPEGSetupEncode","TIFFjpeg_data_dest","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1910,2142,528,528,"JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_data_dest(JPEGState *, TIFF *) -> void","JPEGState * sp, TIFF * tif","void","void"
